sku,name,brand,category,price,description,image_url,tags
SC-FD-BEEF-5.5,Stella's Super Beef Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,15.19,"Raw grass-fed beef freeze-dried dinner patties. 95% beef organs and bone with organic fruits and vegetables. Grain-free pea-free lentil-free and potato-free. Enhanced with probiotics and antioxidants.",https://www.stellaandchewys.com/cdn/shop/products/beef-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,high_protein"
SC-FD-BEEF-14,Stella's Super Beef Freeze-Dried Raw Dinner Patties 14oz,Stella & Chewy's,Food,34.99,"Raw grass-fed beef freeze-dried dinner patties. 95% beef organs and bone with organic fruits and vegetables. Complete and balanced nutrition.",https://www.stellaandchewys.com/cdn/shop/products/beef-patties-14oz.jpg,"made_in_usa,organic,grain_free,freeze_dried,high_protein"
SC-FD-CHICKEN-5.5,Cage-Free Chicken Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,15.19,"Raw cage-free chicken with organs and bone. 95% chicken nutrient-rich organs and bone. Pea-free lentil-free and potato-free with organic fruits and vegetables.",https://www.stellaandchewys.com/cdn/shop/products/chicken-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,cage_free"
SC-FD-CHICKEN-14,Cage-Free Chicken Freeze-Dried Raw Dinner Patties 14oz,Stella & Chewy's,Food,34.99,"Raw cage-free chicken freeze-dried dinner. 96% chicken and organs. All-natural freeze-dried raw with taurine added for heart health.",https://www.stellaandchewys.com/cdn/shop/products/chicken-patties-14oz.jpg,"made_in_usa,organic,grain_free,freeze_dried,cage_free"
SC-FD-SALMON-5.5,Wild-Caught Salmon Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,15.19,"Raw wild-caught salmon and fish. 95% fish nutrient-rich organs and bone. Omega-3 rich for healthy skin and coat.",https://www.stellaandchewys.com/cdn/shop/products/salmon-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,omega_3"
SC-FD-SALMON-14,Wild-Caught Salmon Freeze-Dried Raw Dinner Patties 14oz,Stella & Chewy's,Food,34.99,"Wild-caught salmon freeze-dried raw dinner. Pea-free lentil-free and potato-free. Rich in omega fatty acids.",https://www.stellaandchewys.com/cdn/shop/products/salmon-patties-14oz.jpg,"made_in_usa,organic,grain_free,freeze_dried,omega_3"
SC-FD-TURKEY-10.4,Cage-Free Turkey Freeze-Dried Raw Dinner Patties 10.4oz,Stella & Chewy's,Food,10.44,"Raw cage-free turkey with organs and bone. 95% turkey nutrient-rich organs and bone. Enhanced with probiotics and antioxidants.",https://www.stellaandchewys.com/cdn/shop/products/turkey-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,cage_free"
SC-FD-LAMB-5.5,Lamb Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,16.99,"Raw grass-fed lamb with organs and bone. Novel protein option perfect for dogs with sensitivities. 95% lamb organs and bone.",https://www.stellaandchewys.com/cdn/shop/products/lamb-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,grass_fed"
SC-FD-RABBIT-5.5,Rabbit Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,17.99,"Farm-raised rabbit freeze-dried raw. 90% rabbit and bone. Novel protein ideal for elimination diets and food sensitivities.",https://www.stellaandchewys.com/cdn/shop/products/rabbit-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,novel_protein"
SC-FD-DUCK-5.5,Duck Duck Goose Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,16.99,"Cage-free duck with goose. Novel protein blend. 95% duck goose organs and bone. Grain-free recipe.",https://www.stellaandchewys.com/cdn/shop/products/duck-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,cage_free"
